OP_PROFIT_LOSS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,YEAR,QUARTER
111374.26,B6,JetBlue Airways,L,2016,1
111561.69,AA,American Airlines Inc.,P,2015,3
111663.05,NK,Spirit Air Lines,D,2019,4
112752,UA,United Air Lines Inc.,D,2009,2
112921,DL,Delta Air Lines Inc.,L,2019,4
113304.34,B6,JetBlue Airways,L,2018,3
114098,WN,Southwest Airlines Co.,D,2011,1
114279,DL,Delta Air Lines Inc.,L,2018,3
114533.97,AA,American Airlines Inc.,L,2015,1
115335,DL,Delta Air Lines Inc.,L,2017,3
115350.03,AA,American Airlines Inc.,A,2016,3
115497.38,G4,Allegiant Air,D,2016,1
115754.38,B6,JetBlue Airways,D,2018,2
116083,AA,American Airlines Inc.,L,2012,2
117004.22,UA,United Air Lines Inc.,P,2015,2
118490.14,AA,American Airlines Inc.,P,2015,2
118669.94,AA,American Airlines Inc.,L,2017,2
119550,DL,Delta Air Lines Inc.,P,2013,1
119644,AA,American Airlines Inc.,A,2013,2
120027.33,NK,Spirit Air Lines,D,2017,2
120961.76,NK,Spirit Air Lines,D,2018,4
121796,DL,Delta Air Lines Inc.,P,2012,4
123099,WN,Southwest Airlines Co.,D,2009,2
123345.14,UA,United Air Lines Inc.,L,2022,4
123993.03,NK,Spirit Air Lines,D,2016,3
124269,DL,Delta Air Lines Inc.,L,2022,4
124283,DL,Delta Air Lines Inc.,P,2018,2
124332.25,B6,JetBlue Airways,D,2013,3
124402.3,F9,Frontier Airlines Inc.,D,2016,3
124819,DL,Delta Air Lines Inc.,P,2013,2
126496.77,AA,American Airlines Inc.,A,2017,3
126917,DL,Delta Air Lines Inc.,P,2016,1
128827.01,AA,American Airlines Inc.,L,2015,2
129962,UA,United Air Lines Inc.,A,2010,2
130126.88,UA,United Air Lines Inc.,P,2018,3
130558.01,UA,United Air Lines Inc.,A,2011,2
130595,AS,Alaska Airlines Inc.,D,2011,2
130807,AS,Alaska Airlines Inc.,D,2013,4
131219,DL,Delta Air Lines Inc.,A,2022,4
131483.6,NK,Spirit Air Lines,D,2018,3
131682.57,B6,JetBlue Airways,D,2017,4
132419,DL,Delta Air Lines Inc.,P,2014,1
132539,DL,Delta Air Lines Inc.,P,2013,4
132837,UA,United Air Lines Inc.,A,2010,3
133593,DL,Delta Air Lines Inc.,L,2019,3
133817.36,B6,JetBlue Airways,D,2015,1
134228.72,HA,Hawaiian Airlines Inc.,D,2016,2
134634,AS,Alaska Airlines Inc.,D,2010,2
135986,WN,Southwest Airlines Co.,D,2011,4
137482.04,B6,JetBlue Airways,L,2016,3
137692,DL,Delta Air Lines Inc.,D,2012,4
138117.11,HA,Hawaiian Airlines Inc.,D,2015,3
141654.29,NK,Spirit Air Lines,D,2015,3
141935.12,B6,JetBlue Airways,L,2015,3
142155,DL,Delta Air Lines Inc.,P,2019,3
142492,AA,American Airlines Inc.,D,2010,2
144101.82,NK,Spirit Air Lines,D,2019,2
144261,AS,Alaska Airlines Inc.,D,2014,1
144864,AS,Alaska Airlines Inc.,D,2009,3
145306.61,HA,Hawaiian Airlines Inc.,D,2017,2
145499.2,HA,Hawaiian Airlines Inc.,D,2017,3
146483,DL,Delta Air Lines Inc.,L,2019,2
146886.93,UA,United Air Lines Inc.,P,2011,3
146907.76,UA,United Air Lines Inc.,D,2013,3
148966.43,UA,United Air Lines Inc.,A,2018,1
149150,DL,Delta Air Lines Inc.,P,2017,3
150210.03,B6,JetBlue Airways,L,2022,3
150422.58,AA,American Airlines Inc.,A,2018,3
